"vaccine_exemption","dose","geography","school_year","estimate","population_size","percent_surveyed","number_of_exemptions","year"
"DTP, DTaP, or DT","","Idaho","2015-16",89.8,22686,100,NA,2015
"DTP, DTaP, or DT","","Idaho","2014-15",89.4,22968,100,NA,2014
"DTP, DTaP, or DT","","Idaho","2013-14",88,23934,100,NA,2013
"DTP, DTaP, or DT","","Idaho","2012-13",88.3,23888,100,NA,2012
"MMR","","Idaho","2015-16",90.2,22686,100,NA,2015
"MMR","","Idaho","2014-15",89.5,22968,100,NA,2014
"MMR","","Idaho","2013-14",88.2,23934,100,NA,2013
"MMR","","Idaho","2012-13",88.4,23888,100,NA,2012
"MMR","","Idaho","2011-12",89.2,22762,100,NA,2011
"Hepatitis B","","Idaho","2017-18",92.1,22553,99,NA,2017
"Hepatitis B","","Idaho","2016-17",92.6,22589,100,NA,2016
"Hepatitis B","","Idaho","2015-16",92.5,22686,100,NA,2015
"Hepatitis B","","Idaho","2014-15",92.5,22968,100,NA,2014
"Hepatitis B","","Idaho","2013-14",91.2,23934,100,NA,2013
"Hepatitis B","","Idaho","2012-13",91.7,23888,100,NA,2012
"Hepatitis B","","Idaho","2011-12",92.3,22762,100,NA,2011
"DTP, DTaP, or DT","","Idaho","2009-10",86.8,22624,100,NA,2009
"MMR","","Idaho","2021-22",83.9,23854,99.6,NA,2021
"MMR","","Idaho","2019-20",89.1,23301,98.5,NA,2019
"MMR","","Idaho","2020-21",86.5,22677,98.3,NA,2020
"MMR","","Idaho","2017-18",89.5,22553,99,NA,2017
"MMR","","Idaho","2018-19",89.5,22995,99,NA,2018
"MMR","","Idaho","2016-17",89.9,22589,100,NA,2016
"Varicella","2 Doses (unknown disease history)","Idaho","2016-17",89.1,22589,100,NA,2016
"Varicella","2 Doses (unknown disease history)","Idaho","2018-19",88.3,22995,99,NA,2018
"Varicella","2 Doses (unknown disease history)","Idaho","2017-18",88.6,22553,99,NA,2017
"Hepatitis B","","Idaho","2009-10",93,22624,100,NA,2009
"Varicella","2 Doses (unknown disease history)","Idaho","2021-22",83.4,23854,99.6,NA,2021
"Varicella","2 Doses (unknown disease history)","Idaho","2019-20",88.5,23301,98.5,NA,2019
"Varicella","2 Doses (unknown disease history)","Idaho","2020-21",86.2,22677,98.3,NA,2020
